date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:54:57	4767/4767	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%226ed4e988816e1faca147016a0e3b6ebe%22	https://www.bigfoltz.com/robots.txt		(from )
10:54:57	29474/29474	---MCZ	200	added ('OK')	text/html	etag:W/%22c58fcde98c6e280bd286876b2fadf322%22	https://www.bigfoltz.com/	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/index.html	(from )
10:54:58	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://www.bigfoltz.com/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://www.bigfoltz.com/)
10:54:58	25430/25430	---MCZ	200	added ('OK')	text/css	etag:W/%223c7ff5a3dcd4326ba1d9bd22ef985112%22	https://www.bigfoltz.com/_next/static/css/06264c27bb7e9a9f.css	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/css/06264c27bb7e9a9f.css	(from https://www.bigfoltz.com/)
10:54:58	29807/29807	---MCZ	200	added ('OK')	text/css	etag:W/%22db8130a5a1b29f169d65e0a8890cd6f3%22	https://www.bigfoltz.com/_next/static/css/2a828025313fb134.css	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/css/2a828025313fb134.css	(from https://www.bigfoltz.com/)
10:54:58	4129/4129	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b64c2501bc8e9a45113bb91e2c947edd%22	https://www.bigfoltz.com/_next/static/chunks/webpack-17e1426a45ea0c19.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/webpack-17e1426a45ea0c19.js	(from https://www.bigfoltz.com/)
10:54:59	172831/172831	---MCZ	200	added ('OK')	application/javascript	etag:W/%2289ef5cbeacece4bcb75bbefbaec33dc9%22	https://www.bigfoltz.com/_next/static/chunks/fd9d1056-90960e0a7e77703c.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/fd9d1056-90960e0a7e77703c.js	(from https://www.bigfoltz.com/)
10:54:59	123350/123350	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a2d7c3d59d9298d8e3dfdd6134a4eca%22	https://www.bigfoltz.com/_next/static/chunks/23-bc415a47dbe33919.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/23-bc415a47dbe33919.js	(from https://www.bigfoltz.com/)
10:55:00	462/462	---M--	200	added ('OK')	application/javascript	etag:%228eedc9e8ab2a40373eb62a03672a39d1%22	https://www.bigfoltz.com/_next/static/chunks/main-app-f73cdb3bce740b12.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/main-app-f73cdb3bce740b12.js	(from https://www.bigfoltz.com/)
10:55:00	617/617	---M--	200	added ('OK')	application/javascript	etag:%22d42838d4f8f7fac9e15d2615051772d7%22	https://www.bigfoltz.com/_next/static/chunks/8e1d74a4-a0431f4787e6eb1e.js	C:/Users/ShashankGoud/OneDrive%20-%20Cloudfm%20Integrated%20Services%20Ltd/Documents/Codes/ReactProjects/stake-clone/www.bigfoltz.com/_next/static/chunks/8e1d74a4-a0431f4787e6eb1e.js	(from https://www.bigfoltz.com/)
